chr	start	end	target	0	strand
chr16	89297508	89298317	AC137932.5	0	+
chr7	379359	382712	AC226118.1	0	+
chr1	150560202	150574552	ADAMTSL4-AS1	0	-
chrX	48698963	48737163	AF196970.3	0	-
chr14	105597691	105600209	AL928742.12	0	-
chr11	71794363	71818238	ALG1L9P	0	-
chr22	16654066	16675540	ANKRD62P1-PARP4P3	0	-
chr22	23433564	23435071	AP000344.3	0	+
chr22	24598054	24599398	AP000356.2	0	+
chr21	24304550	24321377	AP000469.2	0	-
chr21	44206525	44207399	AP001058.3	0	-
chr21	44339376	44340470	AP001062.9	0	+
chr21	46037052	46039807	AP001476.2	0	+
chr21	46056516	46057567	AP001476.3	0	+
chr11	65110714	65111695	AP003068.9	0	-
chr11	135061781	135075899	AP005135.2	0	-
chr11	64500853	64505386	AP005273.1	0	+
chr18	26655742	27190698	AQP4-AS1	0	+
chr3	141918252	141919021	ATP1B3-AS1	0	-
chr16	11819829	11828845	BCAR4	0	-
chr3	133429269	133455776	BFSP2-AS1	0	-
chr2	32377631	32379599	BIRC6-AS1	0	-
chr22	22303224	22322847	BMS1P20	0	+
chr2	241544403	241558977	BOK-AS1	0	-
chr8	127686343	127733967	CASC11	0	-
chr8	127185635	127203222	CASC19	0	-
chr8	127339274	127392631	CASC21	0	+
chr8	127207866	127219088	CCAT1;LH15738	0	-
chr10	47908064	47991850	CH17-360D5.2	0	-
chr1	239898016	239899872	CHRM3-AS1	0	-
chr5	81204084	81301560	CKMT2-AS1	0	-
chr1	16618262	16644683	CROCCP2	0	-
chr22	41922023	41923100	CTA-250D10.23	0	-
chr22	31970823	31973475	CTA-342B11.2	0	+
chr19	7390522	7395039	CTB-133G6.2	0	-
chr19	7018971	7021432	CTB-25J19.1	0	-
chr16	21526824	21531141	CTB-31N19.5	0	-
chr19	1815249	1815873	CTB-31O20.3	0	+
chr19	1822089	1824542	CTB-31O20.4	0	+
chr19	1852382	1853622	CTB-31O20.6	0	+
chr5	173579643	173585068	CTB-33O18.3	0	+
chr17	45396932	45397477	CTB-39G8.3	0	+
chr19	42424384	42425071	CTB-50E14.4	0	-
chr19	49018247	49019484	CTB-60B18.10	0	-
chr17	36116177	36177510	CTB-91J4.1	0	+
chr5	173144162	173145039	CTC-209H22.3	0	-
chr19	13139617	13141147	CTC-250I14.3	0	-
chr19	13153071	13154193	CTC-250I14.6;LH08196	0	-
chr5	181191046	181191852	CTC-338M12.2	0	-
chr5	181195496	181203103	CTC-338M12.6	0	+
chr5	150475531	150485968	CTC-367J11.1	0	-
chr19	12944118	12944487	CTC-425F1.4	0	-
chr5	158225352	158234376	CTC-436K13.6	0	-
chr19	48145908	48147413	CTC-453G23.4	0	+
chr19	22665552	22716991	CTC-457E21.9	0	-
chr5	88691757	88697165	CTC-467M3.3;human_lncrna_fused_71148	0	-
chr19	43360685	43368970	CTC-490G23.4	0	-
chr17	43680273	43705884	CTC-501O10.1	0	+
chr16	21120758	21130108	CTC-508F8.1	0	+
chr19	11300777	11324441	CTC-510F12.4	0	-
chr11	68612899	68616711	CTD-2007L18.5	0	-
chr17	45238028	45241734	CTD-2020K17.3	0	-
chr5	57395060	57533424	CTD-2023N9.1	0	+
chr5	55936143	55941727	CTD-2031P19.5	0	+
chr5	213898	217279	CTD-2083E4.4	0	-
chr19	55312029	55312495	CTD-2105E13.14;LH08529	0	-
chr5	14661808	14664604	CTD-2165H16.4	0	-
chr19	41221426	41222051	CTD-2195B23.3	0	-
chr5	92151	139863	CTD-2231H16.1	0	+
chr19	12880969	12884088	CTD-2265O21.7	0	+
chr16	23452758	23457606	CTD-2270L9.4	0	+
chr17	60126535	60135644	CTD-2319I12.4	0	-
chr17	30726305	30727564	CTD-2349P21.6	0	-
chr8	144512567	144513672	CTD-2517M22.17	0	+
chr19	55661901	55674715	CTD-2537I9.12	0	-
chr14	70593314	70641204	CTD-2540L5.5	0	-
chr8	6618475	6708209	CTD-2541M15.1	0	-
chr17	80960766	80961713	CTD-2561B21.3	0	-
chr11	46238382	46239267	CTD-2589M5.5	0	+
chr19	51415724	51417425	CTD-2616J11.2	0	+
chr14	100587775	100589326	CTD-2644I21.1	0	-
chr19	12796823	12801849	CTD-2659N19.10	0	+
chr5	1173141	1178605	CTD-3080P12.3	0	-
chr19	305573	306467	CTD-3113P16.5	0	+
chr8	86098965	86154225	CTD-3118D11.2	0	-
chr19	7959123	7960012	CTD-3193O13.14	0	+
chr19	7926001	7926810	CTD-3193O13.8	0	+
chr5	139648999	139649728	CTD-3224K15.2	0	-
chr1	47096653	47179271	CYP4A22-AS1	0	-
chr22	18970514	19031242	DGCR5	0	+
chrX	50365409	50470738	DGKK	0	-
chr15	30196036	30214540	DKFZP434L187	0	+
chrX	70452958	70455994	DLG3-AS1	0	-
chr17	78484882	78503056	DNAH17-AS1	0	+
chr5	112160450	112164276	EPB41L4A-AS1;LH12673	0	+
chr9	113103338	113111500	FAM225B	0	-
chr8	123201172	123202743	FAM83A-AS1	0	-
chr1	817371	819837	FAM87B	0	+
chr11	1665597	1667856	FAM99A	0	+
chr17	49248239	49258662	FLJ40194	0	+
chr22	18029385	18037968	FLJ41941	0	+
chr13	113815630	113845744	GAS6-AS1	0	+
chr13	92484606	92510094	GPC5-IT1	0	+
chr13	113351673	113361868	GRTP1-AS1	0	+
chr7	66493706	66495474	GS1-124K5.4	0	+
chr7	99598066	99610813	GS1-259H13.2	0	+
chr8	144314590	144315138	GS1-393G12.12	0	-
chr3	129315392	129326225	H1FX-AS1	0	+
chr20	63102205	63104386	HAR1A	0	+
chr6	30766825	30792250	HCG20	0	+
chr6	33144783	33147767	HCG24	0	+
chr20	31567707	31573263	HM13-AS1	0	-
chr1	244840638	244846903	HNRNPU-AS1	0	-
chr12	53962308	53974956	HOTAIR	0	-
chr17	48628675	48634932	HOXB-AS4	0	+
chr17	79707266	79712317	HP09025	0	+
chr1	43453927	43456995	HYI-AS1	0	+
chr8	142657460	142681968	JRK	0	-
chr22	23630618	23638941	KB-1572G7.3	0	-
chr22	16676016	16694648	KB-7G2.8	0	-
chr10	101819078	101828779	KCNIP2-AS1	0	+
chr19	43574638	43575618	L34079.4;LH07866	0	+
chr16	2939714	2954276	LA16c-321D4.2	0	-
chr16	2999902	3000389	LA16c-380H5.3	0	+
chr16	3001300	3002016	LA16c-380H5.4	0	+
chr16	88234785	88302511	LA16c-444G7.1	0	+
chr22	15914721	15915800	LA16c-4G1.3	0	-
chr1	236523069	236524508	LGALS8-AS1	0	-
chr1	12617860	12619946	LH00087	0	+
chr1	16155211	16157329	LH00096;RP11-276H7.2	0	+
chr1	16870945	16874092	LH00114;RP11-108M9.3	0	+
chr1	17675714	17676247	LH00120	0	+
chr1	28648600	28648730	LH00173	0	+
chr1	31155064	31156031	LH00185	0	+
chr1	36450587	36455791	LH00217	0	+
chr1	42959015	42995948	LH00243	0	+
chr1	52353487	52353877	LH00284	0	+
chr1	91387220	91387591	LH00343	0	+
chr1	100894928	100895356	LH00368	0	+
chr1	110407525	110416274	LH00395	0	+
chr1	110963302	110964649	LH00401	0	+
chr1	145410838	145413269	LH00477	0	+
chr1	143885561	143902950	LH00491	0	+
chr1	149805615	149811795	LH00494	0	+
chr1	150973123	150975534	LH00504	0	+
chr1	155562030	155563984	LH00533	0	+
chr1	155978629	155983018	LH00535	0	+
chr1	166875951	166876586	LH00570	0	+
chr1	200411581	200483546	LH00616	0	+
chr1	201023922	201031231	LH00618	0	+
chr1	223846072	223846927	LH00673	0	+
chr1	237603037	237603408	LH00741	0	+
chr1	257864	264733	LH00771	0	-
chr1	1702736	1737688	LH00795;RP1-283E3.8	0	-
chr1	9147857	9202619	LH00824;human_lncrna_fused_536	0	-
chr1	20151021	20152643	LH00886	0	-
chr1	26170180	26170813	LH00918	0	-
chr1	26469932	26472257	LH00923	0	-
chr1	28578495	28581945	LH00938	0	-
chr1	32608081	32613447	LH00956	0	-
chr1	53210456	53213775	LH01036	0	-
chr1	84076331	84077931	LH01098	0	-
chr1	93262186	93346025	LH01128	0	-
chr1	109536369	109548530	LH01160	0	-
chr1	120150758	120154579	LH01208	0	-
chr1	145926590	145941206	LH01249	0	+
chr1	153626332	153634397	LH01304	0	-
chr1	154994244	155002531	LH01313	0	-
chr1	155609776	155610380	LH01327	0	-
chr1	163248275	163321894	LH01365	0	-
chr1	201816854	201829218	LH01455	0	-
chr1	201820202	201830021	LH01456	0	-
chr1	231461829	231528615	LH01596	0	-
chr10	805230	809551	LH01642	0	+
chr10	13348270	13376445	LH01683	0	+
chr10	43420467	43423372	LH01751	0	+
chr10	60582948	60584431	LH01784	0	+
chr10	73495525	73496778	LH01811	0	+
chr10	77925644	77929947	LH01834	0	+
chr10	100373576	100395231	LH01902	0	+
chr10	116670103	116672739	LH01946	0	+
chr10	124447713	124450048	LH01967	0	+
chr10	8047285	8054743	LH02016	0	-
chr10	28522481	28532743	LH02071	0	-
chr10	41845653	41856961	LH02095	0	+
chr10	45888164	45972422	LH02126	0	+
chr10	79804485	79826594	LH02199	0	-
chr10	91782936	91798196	LH02234	0	-
chr10	92657149	92661763	LH02236	0	-
chr10	97418784	97426045	LH02247	0	-
chr10	100980507	100985614	LH02254	0	-
chr10	101053971	101061078	LH02255	0	-
chr10	110869868	110872233	LH02285	0	-
chr11	6678980	6680847	LH02369	0	+
chr11	8964670	8977902	LH02375;TMEM9B-AS1	0	+
chr11	13669327	13670149	LH02394	0	+
chr11	18274322	18275934	LH02403	0	+
chr11	63919190	63922322	LH02475	0	+
chr11	64917553	64924460	LH02482	0	+
chr11	65416562	65450093	LH02486;human_lncrna_fused_15144;NEAT1	0	+
chr11	65911628	65915338	LH02492	0	+
chr11	66285675	66287130	LH02495	0	+
chr11	66677682	66685821	LH02501	0	+
chr11	67860775	67861581	LH02511	0	+
chr11	71448674	71452157	LH02535	0	+
chr11	72014291	72020910	LH02537	0	+
chr11	74493366	74498533	LH02558	0	+
chr11	78139732	78173977	LH02576	0	+
chr11	118790888	118794862	LH02638	0	+
chr11	119057300	119059239	LH02640	0	+
chr11	124762359	124766535	LH02656	0	+
chr11	563690	568527	LH02694	0	-
chr11	850299	862442	LH02699	0	-
chr11	3481520	3581211	LH02714	0	-
chr11	57476493	57477534	LH02822	0	-
chr11	61867109	61867957	LH02841	0	-
chr11	62771120	62771606	LH02848	0	-
chr11	62851988	62855914	LH02855	0	-
chr11	64173211	64185364	LH02866	0	-
chr11	69325034	69366807	LH02923	0	-
chr11	102346439	102347162	LH03019	0	-
chr12	6347808	6353542	LH03121	0	+
chr12	6605676	6609783	LH03130	0	+
chr12	6613969	6618812	LH03131	0	+
chr12	6963246	6964447	LH03136	0	+
chr12	12947151	12953957	LH03204	0	+
chr12	30795931	30802711	LH03227	0	+
chr12	46371463	46373778	LH03252	0	+
chr12	46383520	46652673	LH03253	0	+
chr12	49060171	49064649	LH03273	0	+
chr12	49127782	49186032	LH03275	0	+
chr12	49131577	49147865	LH03277	0	+
chr12	50112197	50165420	LH03283	0	+
chr12	55729104	55731937	LH03310	0	+
chr12	56300142	56314788	LH03315	0	+
chr12	79934810	79942886	LH03368	0	+
chr12	89525654	89540302	LH03379	0	+
chr12	118061400	118062762	LH03461	0	+
chr12	8295986	8396803	LH03579	0	-
chr12	25944660	25959065	LH03635	0	-
chr12	27029676	27035481	LH03644	0	-
chr12	28163298	28190366	LH03648	0	-
chr12	53014596	53018959	LH03712	0	-
chr12	55966838	55967474	LH03739	0	-
chr12	57458207	57462820	LH03763	0	-
chr12	70242306	70243360	LH03810	0	-
chr12	121795267	121803484	LH03931	0	-
chr12	131924736	131929351	LH03987	0	-
chr13	23888889	23892104	LH04017	0	+
chr13	75549773	75807120	LH04106	0	+
chr13	91347820	91354579	LH04121;MIR17HG	0	+
chr13	28133494	28138599	LH04190	0	-
chr13	29558726	29559463	LH04195	0	-
chr13	52651369	52652618	LH04253	0	-
chr13	66118764	66146824	LH04267	0	-
chr13	95648733	95676955	LH04292	0	-
chr13	113392785	113394038	LH04336	0	-
chr14	34874343	34876459	LH04396	0	+
chr14	50414849	50418572	LH04431	0	+
chr14	60652399	60660466	LH04465	0	+
chr14	73490964	73493392	LH04497	0	+
chr14	81219484	81220001	LH04528	0	+
chr14	95157645	95179926	LH04545	0	+
chr14	97179805	97199810	LH04556	0	+
chr14	97180584	97199810	LH04557	0	+
chr14	20307470	20309540	LH04639	0	-
chr14	20343048	20343685	LH04640	0	-
chr14	34920858	34982532	LH04678	0	-
chr14	35029172	35029872	LH04679	0	-
chr14	49859763	49868169	LH04699	0	-
chr14	49891528	49893632	LH04700	0	-
chr14	74314267	74349972	LH04804	0	-
chr14	74326059	74350383	LH04805	0	-
chr14	86107597	86312625	LH04827	0	-
chr14	101796555	101810321	LH04860	0	-
chr15	34255286	34257832	LH04954	0	+
chr15	34850387	34855629	LH04956	0	+
chr15	40039273	40075169	LH04960	0	+
chr15	74461244	74481302	LH05094	0	+
chr15	75737820	75758732	LH05100	0	+
chr15	30117271	30118403	LH05189	0	-
chr15	40439978	40440683	LH05235	0	-
chr15	40837094	40844872	LH05245	0	-
chr15	44402685	44427294	LH05270	0	-
chr15	44527179	44536939	LH05274	0	-
chr15	45200325	45200632	LH05278	0	-
chr15	80817764	80855286	LH05410	0	-
chr15	90620007	90717141	LH05447	0	-
chr15	90882179	90883774	LH05449	0	-
chr15	98646951	98647371	LH05476	0	-
chr16	689001	692413	LH05492	0	+
chr16	2112335	2113342	LH05514	0	+
chr16	2268155	2273494	LH05518	0	+
chr16	3611779	3643095	LH05535	0	+
chr16	23407996	23421408	LH05596	0	+
chr16	30354889	30357237	LH05636	0	+
chr16	31118078	31118747	LH05655	0	+
chr16	34160462	34161100	LH05674	0	+
chr16	58733912	58862170	LH05703	0	+
chr16	79600779	79609404	LH05766	0	+
chr16	84117051	84117571	LH05775	0	+
chr16	85701784	85712283	LH05780	0	+
chr16	88731180	88741418	LH05806;RP5-1142A6.2	0	+
chr16	89816777	89827965	LH05831	0	+
chr16	89906157	89918233	LH05832	0	+
chr16	494537	496867	LH05847	0	-
chr16	539758	547976	LH05852	0	-
chr16	2571570	2572353	LH05882	0	-
chr16	2817923	2821034	LH05893	0	-
chr16	28282252	28292269	LH06016	0	-
chr16	29808296	29812043	LH06037	0	-
chr16	30697424	30699058	LH06048	0	-
chr16	57732834	57736779	LH06096	0	-
chr16	69976297	70065948	LH06130;PDXDC2P	0	-
chr16	73014319	73014476	LH06146	0	-
chr16	74305256	74332613	LH06150	0	-
chr16	78546751	78554654	LH06163	0	-
chr17	16438767	16478678	LH06329;human_lncrna_fused_35063	0	+
chr17	17591428	17610485	LH06333	0	+
chr17	20999747	21000323	LH06355	0	+
chr17	28598790	28617375	LH06368	0	+
chr17	28727258	28727739	LH06371	0	+
chr17	30708695	30792833	LH06395;human_lncrna_fused_35577	0	+
chr17	35568120	35574792	LH06415	0	+
chr17	39401793	39406233	LH06436	0	+
chr17	42577813	42578398	LH06459	0	+
chr17	48723168	48725457	LH06519	0	+
chr17	56914124	56914534	LH06548	0	+
chr17	57834781	57839563	LH06549	0	+
chr17	61997999	62000840	LH06576	0	+
chr17	64145970	64146476	LH06592	0	+
chr17	75394123	75394963	LH06624	0	+
chr17	75979231	76005999	LH06627	0	+
chr17	78360447	78367754	LH06645	0	+
chr17	315457	317059	LH06705	0	-
chr17	17011914	17014990	LH06783	0	-
chr17	18172479	18183785	LH06790	0	-
chr17	18172479	18184255	LH06791	0	-
chr17	18667629	18669461	LH06802	0	-
chr17	30709496	30724870	LH06851	0	-
chr17	42683187	42699466	LH06923	0	-
chr17	43369845	43389199	LH06936;LINC00910	0	-
chr17	48895280	48895717	LH06993	0	-
chr17	48993974	48997340	LH06995	0	-
chr17	58330884	58332508	LH07024	0	-
chr17	61360567	61399636	LH07052	0	-
chr17	61393064	61399969	LH07053	0	-
chr17	61354620	61400279	LH07054	0	-
chr17	64145936	64146251	LH07077	0	-
chr17	75089073	75105944	LH07134	0	-
chr17	76265919	76270506	LH07146	0	-
chr17	76779687	76782221	LH07148	0	-
chr17	81028741	81034891	LH07182;human_lncrna_fused_37793	0	-
chr18	812498	814078	LH07235	0	+
chr18	813274	813756	LH07236	0	+
chr18	49487339	49491878	LH07328	0	+
chr18	72867806	72881399	LH07353	0	+
chr18	11875850	11879006	LH07433	0	-
chr18	74591737	74598229	LH07534	0	-
chr19	2328615	2354806	LH07573	0	+
chr19	3557633	3559895	LH07589	0	+
chr19	4088157	4090529	LH07598	0	+
chr19	6413902	6415184	LH07628	0	+
chr19	8592831	8595723	LH07653	0	+
chr19	9538677	9539719	LH07658	0	+
chr19	12826040	12833358	LH07681	0	+
chr19	13116880	13118157	LH07686	0	+
chr19	17232420	17245737	LH07721	0	+
chr19	17611914	17612959	LH07726	0	+
chr19	18531613	18532632	LH07737	0	+
chr19	41999014	42001884	LH07851	0	+
chr19	43181363	43183234	LH07863	0	+
chr19	51394407	51405017	LH07937	0	+
chr19	55580008	55581017	LH08001	0	+
chr19	58563179	58571081	LH08035	0	+
chr19	1038727	1039064	LH08056	0	-
chr19	1573596	1575475	LH08073	0	-
chr19	7918652	7919157	LH08135	0	-
chr19	11646672	11694981	LH08172	0	-
chr19	23257255	23274251	LH08279	0	-
chr19	33794028	33796754	LH08309	0	-
chr19	35010455	35030377	LH08325	0	-
chr19	35256969	35268113	LH08329	0	-
chr19	35783158	35788438	LH08339	0	-
chr19	37257824	37328672	LH08356	0	-
chr19	41307835	41316451	LH08390	0	-
chr19	48620504	48624132	LH08446	0	-
chr19	50093426	50148386	LH08471	0	-
chr19	55498101	55503807	LH08532	0	-
chr19	58348466	58356225	LH08562	0	-
chr2	677186	682802	LH08577	0	+
chr2	3558454	3566016	LH08586	0	+
chr2	10120734	10121065	LH08594	0	+
chr2	11681460	11683323	LH08602	0	+
chr2	27356246	27361115	LH08637	0	+
chr2	27357140	27358190	LH08638	0	+
chr2	43225690	43230940	LH08677	0	+
chr2	46827864	46859006	LH08692	0	+
chr2	47905495	47908269	LH08696	0	+
chr2	70301451	70302072	LH08736	0	+
chr2	74501717	74502365	LH08755	0	+
chr2	89830924	89834183	LH08797	0	+
chr2	96869486	96873435	LH08813	0	+
chr2	113706724	113712884	LH08872	0	+
chr2	127842933	127846391	LH08895	0	+
chr2	128396226	128518814	LH08901	0	+
chr2	135985149	136007472	LH08918	0	+
chr2	183037538	183039099	LH09020	0	+
chr2	206084605	206086564	LH09070	0	+
chr2	10142200	10161595	LH09176	0	-
chr2	15920773	15942042	LH09184	0	-
chr2	67375253	67398387	LH09287	0	-
chr2	69996686	70086485	LH09298	0	-
chr2	69963463	70087812	LH09300	0	-
chr2	89837705	89841186	LH09349	0	-
chr2	112576962	112584799	LH09439	0	-
chr2	113881547	113889862	LH09449	0	-
chr2	172427774	172428603	LH09553	0	-
chr2	176611020	176637562	LH09582	0	-
chr2	191241887	191246213	LH09617	0	-
chr2	202032105	202033581	LH09641	0	-
chr2	202374781	202376947	LH09645	0	-
chr2	203328459	203329226	LH09651	0	-
chr2	218215677	218217135	LH09670	0	-
chr2	236918516	237085817	LH09740	0	-
chr2	241755920	241766347	LH09763	0	-
chr20	19758148	19809282	LH09807	0	+
chr20	44809531	44833926	LH09864	0	+
chr20	47352561	47354633	LH09876	0	+
chr20	49276738	49361131	LH09883;human_lncrna_fused_53450	0	+
chr20	63627180	63629177	LH09947	0	+
chr20	63744689	63745951	LH09948	0	+
chr20	38961925	38962111	LH10060	0	-
chr20	53739302	53774659	LH10100	0	-
chr20	61937147	61941372	LH10122	0	-
chr20	63862891	63865284	LH10144	0	-
chr21	8986606	9002900	LH10158	0	+
chr21	14383423	14394074	LH10172	0	+
chr21	32728115	32747072	LH10209	0	+
chr21	45972931	45974952	LH10291	0	+
chr21	46144228	46146372	LH10294	0	+
chr21	46229217	46259390	LH10298	0	+
chr22	19291887	19337330	LH10459	0	+
chr22_KI270879v1_alt	269737	270386	LH10505	0	+
chr22	27919376	28002679	LH10524	0	+
chr22	29260521	29263913	LH10533	0	+
chr22	30968207	30979460	LH10546	0	+
chr22	30969276	30979460	LH10547	0	+
chr22	37950965	37951778	LH10586	0	+
chr22	50523926	50524780	LH10640	0	+
chr22	39433725	39436766	LH10772	0	-
chr3	32570775	32579557	LH10905	0	+
chr3	47164096	47174263	LH10939	0	+
chr3	55822405	55824486	LH10987	0	+
chr3	98522570	98525334	LH11036	0	+
chr3	101676430	101679217	LH11049	0	+
chr3	127746643	127756750	LH11105	0	+
chr3	15439199	15444069	LH11372	0	-
chr3	45677664	45689197	LH11452	0	-
chr3	75686888	75687216	LH11526	0	-
chr3	127669155	127672640	LH11587	0	-
chr3	184546714	184556918	LH11715	0	-
chr3	186780979	186784356	LH11719	0	-
chr4	9532015	9552549	LH11821	0	+
chr4	67700353	67745973	LH11920	0	+
chr4	67701280	67722505	LH11921	0	+
chr4	75940977	75943160	LH11930	0	+
chr4	99950006	99966393	LH11972	0	+
chr4	102828055	102844879	LH11976	0	+
chr4	110197644	110198282	LH11995	0	+
chr4	151105333	151108764	LH12045	0	+
chr4	56461504	56467130	LH12260	0	-
chr4	112646723	112648703	LH12331	0	-
chr4	112646320	112651724	LH12333	0	-
chr4	143513472	143514635	LH12379	0	-
chr4	184385654	184385993	LH12437	0	-
chr5	1345176	1352056	LH12469	0	+
chr5	40798275	40799286	LH12547	0	+
chr5	79514251	79516151	LH12633	0	+
chr5	88268895	88437043	LH12647	0	+
chr5	115262505	115263448	LH12679	0	+
chr5	150422156	150424295	LH12766	0	+
chr5	159208345	159210815	LH12784	0	+
chr5	181246419	181272167	LH12848	0	+
chr5	858879	860235	LH12870	0	-
chr5	10324783	10353632	LH12890	0	-
chr5	34925923	34929691	LH12937	0	-
chr5	44742316	44808997	LH12959	0	-
chr5	78355373	78360523	LH13004	0	-
chr5	116082244	116085725	LH13078	0	-
chr5	151769435	151771476	LH13179	0	-
chr6	21666444	22194387	LH13285	0	+
chr6	34235621	34236694	LH13381	0	+
chr6	52576886	52583994	LH13436	0	+
chr6	73310133	73314212	LH13468	0	+
chr6	107957413	107959986	LH13527	0	+
chr6	111483195	111602930	LH13540	0	+
chr6	113969954	113993463	LH13552	0	+
chr6	135323332	135330894	LH13598	0	+
chr6	167825086	167826836	LH13693	0	+
chr6	20400694	20402914	LH13774	0	-
chr6	28121798	28136866	LH13802	0	-
chr6	30723105	30723877	LH13836	0	-
chr6	37122261	37126387	LH13892	0	-
chr6	37116163	37138127	LH13894	0	-
chr6	44078285	44082531	LH13928	0	-
chr6	57946074	57961501	LH13958	0	-
chr6	63378513	63572408	LH13960	0	-
chr6	67880680	67889559	LH13961	0	-
chr6	117608818	117675534	LH14038	0	-
chr6	125749790	125759445	LH14048	0	-
chr6	129456834	129477111	LH14054	0	-
chr6	131283441	131301739	LH14060	0	-
chr6	167825029	167825460	LH14156	0	-
chr6	170397209	170400315	LH14165	0	-
chr7	1504510	1508016	LH14181	0	+
chr7	53983777	54016840	LH14341	0	+
chr7	62508238	62510142	LH14349	0	+
chr7	64835083	64840586	LH14352	0	+
chr7	66654538	66669855	LH14362;RP4-756H11.3	0	+
chr7	123749002	123752349	LH14503	0	+
chr7	130913492	130921535	LH14528	0	+
chr7	144195321	144219154	LH14558	0	+
chr7	6602208	6607565	LH14643	0	-
chr7	30566404	30594809	LH14723	0	-
chr7	39947519	39950124	LH14736	0	-
chr7	43940895	44019175	LH14745	0	-
chr7	44983023	44986834	LH14750	0	-
chr7	74048744	74062693	LH14808	0	-
chr7	101089701	101093100	LH14880	0	-
chr7	128524016	128532036	LH14949	0	-
chr7	129604548	129611630	LH14958	0	-
chr7	130790882	131190429	LH14964;human_lncrna_fused_83996	0	-
chr7	130871863	130913310	LH14965	0	-
chr7	131323777	131328222	LH14973	0	-
chr7	143379692	143380495	LH15005	0	-
chr7	144251264	144355138	LH15008	0	-
chr7	144254096	144355401	LH15009	0	-
chr7	144353565	144355707	LH15010	0	-
chr7	149126599	149127411	LH15016	0	-
chr7	150370530	150372590	LH15033	0	-
chr8	891749	1032958	LH15076	0	+
chr8	23224471	23228707	LH15119	0	+
chr8	40135997	40136220	LH15169	0	+
chr8	94553618	94571259	LH15269	0	+
chr8	119855782	119869027	LH15315	0	+
chr8	120812219	120813359	LH15319	0	+
chr8	9770446	9771793	LH15447	0	-
chr8	30382124	30384740	LH15510	0	-
chr8	42537529	42538304	LH15551	0	-
chr8	101461177	101492675	LH15672	0	-
chr8	124452956	124474658	LH15720	0	-
chr8	127168433	127229305	LH15741	0	-
chr9	8857194	8862988	LH15857	0	+
chr9	86282562	86299907	LH15992	0	+
chr9	92670333	92674756	LH16008	0	+
chr9	94555069	94568127	LH16020;PCAT7	0	+
chr9	128431598	128432006	LH16126	0	+
chr9	128742255	128750681	LH16131	0	+
chr9	129908908	129910428	LH16160	0	+
chr9	134025407	134031863	LH16174	0	+
chr9	136208856	136215241	LH16185	0	+
chr9	136728293	136731564	LH16193	0	+
chr9	137063082	137064581	LH16202	0	+
